"weekly_id","fight_number","lives_remain","date_created","date_modified","member_id","FIGHTER_ID","FIGHT_DATE","fight_type"
108,13,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,12,"2024-05-15 00:00:00",no_super
109,14,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,62,"2024-05-15 00:00:00",no_super
110,14,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,56,"2024-05-15 00:00:00",no_super
111,14,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,12,"2024-05-15 00:00:00",no_super
112,15,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,55,"2024-05-15 00:00:00",no_super
113,15,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,18,"2024-05-15 00:00:00",no_super
114,15,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,78,"2024-05-15 00:00:00",no_super
115,16,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,20,"2024-05-15 00:00:00",no_super
116,16,2,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,4,"2024-05-15 00:00:00",no_super
117,16,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,39,"2024-05-15 00:00:00",no_super
118,17,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,50,"2024-05-15 00:00:00",no_super
119,17,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,40,"2024-05-15 00:00:00",no_super
120,17,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,69,"2024-05-15 00:00:00",no_super
121,18,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,75,"2024-05-15 00:00:00",no_super
122,18,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,5,"2024-05-15 00:00:00",no_super
123,18,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,30,"2024-05-15 00:00:00",no_super
124,19,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,14,"2024-05-15 00:00:00",no_super
125,19,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,11,"2024-05-15 00:00:00",no_super
126,19,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,17,"2024-05-15 00:00:00",no_super
127,20,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,48,"2024-05-15 00:00:00",no_super
128,20,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,13,"2024-05-15 00:00:00",no_super
129,20,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,57,"2024-05-15 00:00:00",no_super
130,1,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,50,"2024-05-22 00:00:00",super
131,1,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,29,"2024-05-22 00:00:00",super
132,1,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,12,"2024-05-22 00:00:00",super
133,2,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,16,"2024-05-22 00:00:00",super
134,2,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,31,"2024-05-22 00:00:00",super
135,2,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,53,"2024-05-22 00:00:00",super
136,3,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,76,"2024-05-22 00:00:00",super
137,3,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,9,"2024-05-22 00:00:00",super
138,3,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,27,"2024-05-22 00:00:00",super
139,4,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,83,"2024-05-22 00:00:00",super
140,4,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,74,"2024-05-22 00:00:00",super
141,4,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,57,"2024-05-22 00:00:00",super
142,5,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,35,"2024-05-22 00:00:00",super
143,5,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,71,"2024-05-22 00:00:00",super
144,5,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,72,"2024-05-22 00:00:00",super
145,6,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,15,"2024-05-22 00:00:00",super
146,6,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,19,"2024-05-22 00:00:00",super
147,6,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,8,"2024-05-22 00:00:00",super
148,7,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,3,"2024-05-22 00:00:00",super
149,7,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,7,"2024-05-22 00:00:00",super
150,7,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,22,"2024-05-22 00:00:00",super
151,8,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,38,"2024-05-22 00:00:00",super
152,8,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,13,"2024-05-22 00:00:00",super
153,8,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,47,"2024-05-22 00:00:00",super
154,9,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,75,"2024-05-22 00:00:00",super
155,9,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,43,"2024-05-22 00:00:00",super
156,9,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,32,"2024-05-22 00:00:00",super
157,10,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,34,"2024-05-22 00:00:00",super
158,10,2,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,40,"2024-05-22 00:00:00",super
159,10,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,67,"2024-05-22 00:00:00",super
160,11,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,62,"2024-05-22 00:00:00",super
161,11,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,37,"2024-05-22 00:00:00",super
162,11,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,82,"2024-05-22 00:00:00",super
163,12,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,55,"2024-05-22 00:00:00",super
164,12,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,41,"2024-05-22 00:00:00",super
165,12,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,58,"2024-05-22 00:00:00",super
166,13,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,46,"2024-05-22 00:00:00",super
167,13,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,6,"2024-05-22 00:00:00",super
168,13,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,52,"2024-05-22 00:00:00",super
169,14,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,39,"2024-05-22 00:00:00",super
170,14,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,23,"2024-05-22 00:00:00",super
171,14,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,49,"2024-05-22 00:00:00",super
172,15,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,25,"2024-05-22 00:00:00",super
173,15,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,79,"2024-05-22 00:00:00",super
174,15,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,39,"2024-05-22 00:00:00",super
175,16,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,80,"2024-05-22 00:00:00",super
176,16,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,65,"2024-05-22 00:00:00",super
177,16,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,68,"2024-05-22 00:00:00",super
178,17,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,36,"2024-05-22 00:00:00",super
179,17,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,66,"2024-05-22 00:00:00",super
180,17,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,69,"2024-05-22 00:00:00",super
181,18,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,73,"2024-05-22 00:00:00",super
182,18,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,10,"2024-05-22 00:00:00",super
183,18,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,33,"2024-05-22 00:00:00",super
184,19,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,48,"2024-05-22 00:00:00",super
185,19,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,4,"2024-05-22 00:00:00",super
186,19,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,26,"2024-05-22 00:00:00",super
187,20,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,1,"2024-05-22 00:00:00",super
188,20,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,18,"2024-05-22 00:00:00",super
189,20,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,42,"2024-05-22 00:00:00",super
190,21,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",1,14,"2024-05-22 00:00:00",super
191,21,1,"2024-05-28 11:38:05","2024-05-28 11:38:05",2,5,"2024-05-22 00:00:00",super
192,21,0,"2024-05-28 11:38:05","2024-05-28 11:38:05",3,78,"2024-05-22 00:00:00",super
